subject,n_test,thr_used,rejection_rate,coverage,acc_accept,ba_accept,acc_forced,ba_forced,ece,experts_kept
subject 01,15,0.5262697080901086,0.13333333333333333,0.8666666666666667,0.6923076923076923,0.6904761904761905,0.6,0.5982142857142857,0.11423949152843632,bag|svm|xgb|rf|mlp
subject 02,15,0.516869727076305,0.13333333333333333,0.8666666666666667,0.7692307692307693,0.8125,0.6666666666666666,0.6696428571428572,0.1500677923482886,bag|xgb|rf|mlp
subject 03,15,0.5017419294874343,0.06666666666666667,0.9333333333333333,0.7142857142857143,0.7142857142857142,0.7333333333333333,0.7232142857142857,0.2219940164303279,bag|svm|xgb|rf|mlp
subject 04,15,0.5046542564589528,0.13333333333333333,0.8666666666666667,0.7692307692307693,0.7738095238095238,0.7333333333333333,0.7321428571428572,0.21403647363215134,bag|rf|mlp
subject 05,15,0.5124569540165409,0.13333333333333333,0.8666666666666667,0.6923076923076923,0.6904761904761905,0.6666666666666666,0.6696428571428572,0.136257333764857,bag|svm|xgb|rf|mlp
subject 06,15,0.5079464043187645,0.06666666666666667,0.9333333333333333,0.7857142857142857,0.7857142857142857,0.7333333333333333,0.7410714285714286,0.17283981995748024,bag|svm|xgb|rf|mlp
subject 07,15,0.512216834524111,0.13333333333333333,0.8666666666666667,0.6923076923076923,0.6785714285714286,0.6,0.5892857142857143,0.06656338002707114,bag|svm|xgb|rf|mlp
subject 08,15,0.5071345922336684,0.06666666666666667,0.9333333333333333,0.7857142857142857,0.7857142857142857,0.7333333333333333,0.7410714285714286,0.15879090281201896,bag|svm|xgb|rf|mlp
subject 09,15,0.5108470800102518,0.06666666666666667,0.9333333333333333,0.7142857142857143,0.7083333333333333,0.6666666666666666,0.6607142857142857,0.12088710567820536,bag|svm|xgb|rf|mlp
subject 10,15,0.5184572195857824,0.2,0.8,0.75,0.75,0.7333333333333333,0.7410714285714286,0.1908186123358182,bag|svm|xgb|rf|mlp
subject 11,15,0.5037247628154007,0.13333333333333333,0.8666666666666667,0.8461538461538461,0.8452380952380952,0.8666666666666667,0.8660714285714286,0.3495110417535151,bag|svm|xgb|rf|mlp
subject 12,15,0.505255793319175,0.13333333333333333,0.8666666666666667,0.8461538461538461,0.8571428571428572,0.8666666666666667,0.875,0.32428451430391375,bag|svm|xgb|mlp
subject 13,15,0.5633120714015175,0.2,0.8,0.75,0.75,0.7333333333333333,0.7232142857142857,0.13083645996147694,bag|svm|xgb|mlp
subject 14,15,0.5069434998336443,0.0,1.0,0.8666666666666667,0.8660714285714286,0.8666666666666667,0.8660714285714286,0.32291793117014,bag|svm|xgb|rf|mlp
subject 15,15,0.5095492790244426,0.13333333333333333,0.8666666666666667,0.7692307692307693,0.7619047619047619,0.6666666666666666,0.6607142857142857,0.31816440381841415,bag|svm|rf|mlp
subject 16,15,0.506438155668592,0.13333333333333333,0.8666666666666667,0.6923076923076923,0.7142857142857143,0.6,0.6160714285714286,0.1227065808599041,bag|xgb|rf|mlp
subject 17,15,0.5191776547379559,0.2,0.8,0.75,0.7857142857142857,0.6666666666666666,0.6696428571428572,0.28097880445023915,bag|xgb|rf|mlp
subject 18,15,0.5076199162853057,0.2,0.8,0.6666666666666666,0.6666666666666666,0.6,0.6160714285714286,0.08213851881552889,svm|xgb|rf|mlp
subject 19,15,0.5104754505524389,0.06666666666666667,0.9333333333333333,0.7857142857142857,0.7857142857142857,0.8,0.7857142857142857,0.23243400192941938,bag|svm|xgb|rf|mlp
subject 20,15,0.5111081452430198,0.13333333333333333,0.8666666666666667,0.9230769230769231,0.9375,0.8,0.7946428571428572,0.2407500051749431,bag|svm|xgb|rf|mlp
subject 21,15,0.5496527430124328,0.2,0.8,0.75,0.8125,0.7333333333333333,0.7410714285714286,0.14678330718350552,bag|svm|xgb|rf
subject 22,15,0.5039201673123899,0.06666666666666667,0.9333333333333333,0.7142857142857143,0.7142857142857143,0.7333333333333333,0.7321428571428572,0.202854830848197,bag|svm|xgb|rf|mlp
subject 23,15,0.5102995615103255,0.2,0.8,0.8333333333333334,0.8,0.7333333333333333,0.75,0.1987092851089251,bag|xgb|rf|mlp
subject 24,15,0.5156057460453847,0.13333333333333333,0.8666666666666667,0.6923076923076923,0.7142857142857143,0.6,0.6160714285714286,0.18383808199408447,svm|xgb|rf|mlp
subject 25,15,0.5147328276827161,0.13333333333333333,0.8666666666666667,0.7692307692307693,0.8125,0.8,0.8125,0.2601189975069229,bag|svm|xgb|rf|mlp
subject 26,15,0.5241708678947457,0.13333333333333333,0.8666666666666667,0.6153846153846154,0.6071428571428572,0.5333333333333333,0.5267857142857143,0.12816477683324418,bag|svm|xgb|rf|mlp
subject 27,15,0.5683427500330901,0.2,0.8,0.6666666666666666,0.7142857142857143,0.6,0.5892857142857143,0.3473447094087836,bag|svm|xgb|rf|mlp
subject 28,15,0.5129804039885404,0.13333333333333333,0.8666666666666667,0.6923076923076923,0.7142857142857143,0.6666666666666666,0.6785714285714286,0.12275162536919504,bag|svm|xgb|rf|mlp
